2024-03-14 20:11:55,116 - Using device: cpu
2024-03-14 20:11:55,116 - 
Epoch: 2

2024-03-14 20:11:55,257 - Epoch [1/2], Step [1/600], Loss: 0.1894, RAM Usage: 61.90%, CPU Usage: 2.90%
2024-03-14 20:11:55,286 - Epoch [1/2], Step [2/600], Loss: 0.1825, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:55,306 - Epoch [1/2], Step [3/600], Loss: 0.1724, RAM Usage: 61.90%, CPU Usage: 3.00%
2024-03-14 20:11:55,339 - Epoch [1/2], Step [4/600], Loss: 0.2957, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:55,356 - Epoch [1/2], Step [5/600], Loss: 0.3213, RAM Usage: 61.90%, CPU Usage: 3.10%
2024-03-14 20:11:55,387 - Epoch [1/2], Step [6/600], Loss: 0.3062, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:55,407 - Epoch [1/2], Step [7/600], Loss: 0.2853, RAM Usage: 61.90%, CPU Usage: 3.10%
2024-03-14 20:11:55,455 - Epoch [1/2], Step [8/600], Loss: 0.2890, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:55,483 - Epoch [1/2], Step [9/600], Loss: 0.2572, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:55,506 - Epoch [1/2], Step [10/600], Loss: 0.2148, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:55,537 - Epoch [1/2], Step [11/600], Loss: 0.1885, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:55,566 - Epoch [1/2], Step [12/600], Loss: 0.1611, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:55,591 - Epoch [1/2], Step [13/600], Loss: 0.2152, RAM Usage: 61.90%, CPU Usage: 3.00%
2024-03-14 20:11:55,615 - Epoch [1/2], Step [14/600], Loss: 0.2515, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:55,637 - Epoch [1/2], Step [15/600], Loss: 0.1421, RAM Usage: 61.90%, CPU Usage: 3.10%
2024-03-14 20:11:55,657 - Epoch [1/2], Step [16/600], Loss: 0.2242, RAM Usage: 61.90%, CPU Usage: 3.10%
2024-03-14 20:11:55,690 - Epoch [1/2], Step [17/600], Loss: 0.2686, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:55,714 - Epoch [1/2], Step [18/600], Loss: 0.1655, RAM Usage: 61.90%, CPU Usage: 1.80%
2024-03-14 20:11:55,736 - Epoch [1/2], Step [19/600], Loss: 0.2368, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:55,766 - Epoch [1/2], Step [20/600], Loss: 0.1297, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:55,787 - Epoch [1/2], Step [21/600], Loss: 0.1645, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:55,817 - Epoch [1/2], Step [22/600], Loss: 0.2723, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:55,838 - Epoch [1/2], Step [23/600], Loss: 0.1043, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:55,866 - Epoch [1/2], Step [24/600], Loss: 0.1792, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:55,895 - Epoch [1/2], Step [25/600], Loss: 0.2739, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:55,920 - Epoch [1/2], Step [26/600], Loss: 0.2570, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:55,946 - Epoch [1/2], Step [27/600], Loss: 0.3289, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:55,970 - Epoch [1/2], Step [28/600], Loss: 0.1716, RAM Usage: 61.90%, CPU Usage: 4.50%
